item,campo_origem,campo_sql,tipo_dado,app_sales_brasil_sn,campo_looker_bq,status_implementacao,prioridade_implantacao,calculo_bq_final,create_view_select_expr,prompt_ia_base,criterios_avaliacao_ia,gates_governanca_aplicados,saida_json_esperada_ia,fonte_regra_codigo,tem_prompt_open_literal,tem_prompt_closed_literal,resumo_regras_ouro_open,resumo_json_open,resumo_json_closed,validado_bq_sn,validado_app_headers_sn,app_sales_validado_sn,evidencia_validacao
114,Idle (Dias),idle_dias,NUMERIC,S,idle_dias,PRONTO,MEDIA,SAFE_CAST(src.`idle_dias` AS NUMERIC),SAFE_CAST(src.`idle_dias` AS NUMERIC) AS `idle_dias`,Variáveis de contexto de governança enviadas ao prompt OPEN/CLOSED.,"Critérios de governança operacional: estagnação, incoerências, idle, tempo de funil, mudanças de fase/data, Deal Desk, governo e velocity para suporte da auditoria e priorização tática.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.",N/A (campo de suporte para decisão e gates),"appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
115,Qualidade Engajamento,qualidade_engajamento,STRING,S,qualidade_engajamento,PRONTO,MEDIA,CAST(src.`qualidade_engajamento` AS STRING),CAST(src.`qualidade_engajamento` AS STRING) AS `qualidade_engajamento`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
116,Forecast IA,forecast_ia,STRING,S,forecast_ia,PRONTO,MEDIA,CAST(src.`forecast_ia` AS STRING),CAST(src.`forecast_ia` AS STRING) AS `forecast_ia`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,S,S,S,BQ|APP_HEADERS
117,Confiança (%),confianca_percentual,NUMERIC,S,confianca_percentual,PRONTO,MEDIA,SAFE_CAST(src.`confianca_percentual` AS NUMERIC),SAFE_CAST(src.`confianca_percentual` AS NUMERIC) AS `confianca_percentual`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,N,N,N,SEM_EVIDENCIA
118,Motivo Confiança,motivo_confianca,NUMERIC,S,motivo_confianca,PRONTO,MEDIA,SAFE_CAST(src.`motivo_confianca` AS NUMERIC),SAFE_CAST(src.`motivo_confianca` AS NUMERIC) AS `motivo_confianca`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,S,S,S,BQ|APP_HEADERS
119,MEDDIC Score,meddic_score,NUMERIC,S,meddic_score,PRONTO,MEDIA,SAFE_CAST(src.`meddic_score` AS NUMERIC),SAFE_CAST(src.`meddic_score` AS NUMERIC) AS `meddic_score`,"Baseado em getOpenPrompt/getClosedPrompt: bloco ""EVIDÊNCIAS DE QUALIFICAÇÃO"" (MEDDIC/BANT).","MEDDIC/BANT por evidências textuais: score, critérios encontrados com citação e gaps. Regra operacional: >3 gaps MEDDIC ou >2 gaps BANT classifica baixa qualificação no diagnóstico IA.",Impacta confiança e classificação de qualificação no motor IA.,"{meddic_score, meddic_evidencias, meddic_gaps, bant_score, bant_evidencias, bant_gaps}",appscript/ShareCode.gs:getOpenPrompt + scoring MEDDIC/BANT,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
120,MEDDIC Gaps,meddic_gaps,STRING,S,meddic_gaps,PRONTO,MEDIA,CAST(src.`meddic_gaps` AS STRING),CAST(src.`meddic_gaps` AS STRING) AS `meddic_gaps`,"Baseado em getOpenPrompt/getClosedPrompt: bloco ""EVIDÊNCIAS DE QUALIFICAÇÃO"" (MEDDIC/BANT).","MEDDIC/BANT por evidências textuais: score, critérios encontrados com citação e gaps. Regra operacional: >3 gaps MEDDIC ou >2 gaps BANT classifica baixa qualificação no diagnóstico IA.",Impacta confiança e classificação de qualificação no motor IA.,"{meddic_score, meddic_evidencias, meddic_gaps, bant_score, bant_evidencias, bant_gaps}",appscript/ShareCode.gs:getOpenPrompt + scoring MEDDIC/BANT,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
121,MEDDIC Evidências,meddic_evidencias,STRING,S,meddic_evidencias,PRONTO,MEDIA,CAST(src.`meddic_evidencias` AS STRING),CAST(src.`meddic_evidencias` AS STRING) AS `meddic_evidencias`,"Baseado em getOpenPrompt/getClosedPrompt: bloco ""EVIDÊNCIAS DE QUALIFICAÇÃO"" (MEDDIC/BANT).","MEDDIC/BANT por evidências textuais: score, critérios encontrados com citação e gaps. Regra operacional: >3 gaps MEDDIC ou >2 gaps BANT classifica baixa qualificação no diagnóstico IA.",Impacta confiança e classificação de qualificação no motor IA.,"{meddic_score, meddic_evidencias, meddic_gaps, bant_score, bant_evidencias, bant_gaps}",appscript/ShareCode.gs:getOpenPrompt + scoring MEDDIC/BANT,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
122,BANT Score,bant_score,NUMERIC,S,bant_score,PRONTO,MEDIA,SAFE_CAST(src.`bant_score` AS NUMERIC),SAFE_CAST(src.`bant_score` AS NUMERIC) AS `bant_score`,"Baseado em getOpenPrompt/getClosedPrompt: bloco ""EVIDÊNCIAS DE QUALIFICAÇÃO"" (MEDDIC/BANT).","MEDDIC/BANT por evidências textuais: score, critérios encontrados com citação e gaps. Regra operacional: >3 gaps MEDDIC ou >2 gaps BANT classifica baixa qualificação no diagnóstico IA.",Impacta confiança e classificação de qualificação no motor IA.,"{meddic_score, meddic_evidencias, meddic_gaps, bant_score, bant_evidencias, bant_gaps}",appscript/ShareCode.gs:getOpenPrompt + scoring MEDDIC/BANT,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
123,BANT Gaps,bant_gaps,STRING,S,bant_gaps,PRONTO,MEDIA,CAST(src.`bant_gaps` AS STRING),CAST(src.`bant_gaps` AS STRING) AS `bant_gaps`,"Baseado em getOpenPrompt/getClosedPrompt: bloco ""EVIDÊNCIAS DE QUALIFICAÇÃO"" (MEDDIC/BANT).","MEDDIC/BANT por evidências textuais: score, critérios encontrados com citação e gaps. Regra operacional: >3 gaps MEDDIC ou >2 gaps BANT classifica baixa qualificação no diagnóstico IA.",Impacta confiança e classificação de qualificação no motor IA.,"{meddic_score, meddic_evidencias, meddic_gaps, bant_score, bant_evidencias, bant_gaps}",appscript/ShareCode.gs:getOpenPrompt + scoring MEDDIC/BANT,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
124,BANT Evidências,bant_evidencias,STRING,S,bant_evidencias,PRONTO,MEDIA,CAST(src.`bant_evidencias` AS STRING),CAST(src.`bant_evidencias` AS STRING) AS `bant_evidencias`,"Baseado em getOpenPrompt/getClosedPrompt: bloco ""EVIDÊNCIAS DE QUALIFICAÇÃO"" (MEDDIC/BANT).","MEDDIC/BANT por evidências textuais: score, critérios encontrados com citação e gaps. Regra operacional: >3 gaps MEDDIC ou >2 gaps BANT classifica baixa qualificação no diagnóstico IA.",Impacta confiança e classificação de qualificação no motor IA.,"{meddic_score, meddic_evidencias, meddic_gaps, bant_score, bant_evidencias, bant_gaps}",appscript/ShareCode.gs:getOpenPrompt + scoring MEDDIC/BANT,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
125,Justificativa IA,justificativa_ia,STRING,S,justificativa_ia,PRONTO,MEDIA,CAST(src.`justificativa_ia` AS STRING),CAST(src.`justificativa_ia` AS STRING) AS `justificativa_ia`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,S,S,S,BQ|APP_HEADERS
126,Regras Aplicadas,regras_aplicadas,STRING,S,regras_aplicadas,PRONTO,MEDIA,CAST(src.`regras_aplicadas` AS STRING),CAST(src.`regras_aplicadas` AS STRING) AS `regras_aplicadas`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
127,Incoerência Detectada,incoerencia_detectada,STRING,S,incoerencia_detectada,PRONTO,MEDIA,CAST(src.`incoerencia_detectada` AS STRING),CAST(src.`incoerencia_detectada` AS STRING) AS `incoerencia_detectada`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,S,S,S,BQ|APP_HEADERS
128,Perguntas de Auditoria IA,perguntas_de_auditoria_ia,STRING,S,perguntas_de_auditoria_ia,PRONTO,MEDIA,CAST(src.`perguntas_de_auditoria_ia` AS STRING),CAST(src.`perguntas_de_auditoria_ia` AS STRING) AS `perguntas_de_auditoria_ia`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,S,S,S,BQ|APP_HEADERS
129,Flags de Risco,flags_de_risco,STRING,S,flags_de_risco,PRONTO,MEDIA,CAST(src.`flags_de_risco` AS STRING),CAST(src.`flags_de_risco` AS STRING) AS `flags_de_risco`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,S,S,S,BQ|APP_HEADERS
130,Gaps Identificados,gaps_identificados,STRING,S,gaps_identificados,PRONTO,MEDIA,CAST(src.`gaps_identificados` AS STRING),CAST(src.`gaps_identificados` AS STRING) AS `gaps_identificados`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
131,Cód Ação,cod_acao,STRING,S,cod_acao,PRONTO,MEDIA,CAST(src.`cod_acao` AS STRING),CAST(src.`cod_acao` AS STRING) AS `cod_acao`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,S,S,S,BQ|APP_HEADERS
132,Ação Sugerida,acao_sugerida,STRING,S,acao_sugerida,PRONTO,MEDIA,CAST(src.`acao_sugerida` AS STRING),CAST(src.`acao_sugerida` AS STRING) AS `acao_sugerida`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,S,S,S,BQ|APP_HEADERS
