item,campo_origem,campo_sql,tipo_dado,caracteristica_dado,descricao_funcional,calculo_sheets_as_is,calculo_bq_to_be_original,calculo_bq_final,tipo_calculo_bq,bq_alias_origem,bq_coluna_resultado,compliance_sn,datalake_xertica_sn,app_sales_brasil_sn,campo_looker_bq,status_implementacao,prioridade_implantacao,risco,observacoes_negocio,dataset_referencia,tabela_referencia,create_view_select_expr,prompt_ia_base,criterios_avaliacao_ia,gates_governanca_aplicados,saida_json_esperada_ia,fonte_regra_codigo,prompt_open_literal_completo,prompt_closed_literal_completo,regras_ouro_open_literal,json_schema_open_literal,json_schema_closed_literal,validado_bq_sn,validado_app_headers_sn,app_sales_validado_sn,evidencia_validacao
142,Território Correto?,territorio_correto,BOOLEAN,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,SAFE_CAST(src.`territorio_correto` AS BOOL),DIRECT,src,territorio_correto,N,N,S,territorio_correto,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`territorio_correto` AS BOOL) AS `territorio_correto`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
143,Vendedor Designado,vendedor_designado,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`vendedor_designado` AS STRING),DIRECT,src,vendedor_designado,N,N,S,vendedor_designado,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`vendedor_designado` AS STRING) AS `vendedor_designado`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
144,Estado/Cidade Detectado,estado_cidade_detectado,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`estado_cidade_detectado` AS STRING),DIRECT,src,estado_cidade_detectado,N,N,S,estado_cidade_detectado,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`estado_cidade_detectado` AS STRING) AS `estado_cidade_detectado`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
145,Fonte Detecção,fonte_deteccao,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`fonte_deteccao` AS STRING),DIRECT,src,fonte_deteccao,N,N,S,fonte_deteccao,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`fonte_deteccao` AS STRING) AS `fonte_deteccao`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
146,Calendário Faturação,calendario_faturacao,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`calendario_faturacao` AS STRING),DIRECT,src,calendario_faturacao,N,N,S,calendario_faturacao,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`calendario_faturacao` AS STRING) AS `calendario_faturacao`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
147,Valor Reconhecido Q1,valor_reconhecido_q1,NUMERIC,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,SAFE_CAST(src.`valor_reconhecido_q1` AS NUMERIC),DIRECT,src,valor_reconhecido_q1,N,N,S,valor_reconhecido_q1,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`valor_reconhecido_q1` AS NUMERIC) AS `valor_reconhecido_q1`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
148,Valor Reconhecido Q2,valor_reconhecido_q2,NUMERIC,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,SAFE_CAST(src.`valor_reconhecido_q2` AS NUMERIC),DIRECT,src,valor_reconhecido_q2,N,N,S,valor_reconhecido_q2,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`valor_reconhecido_q2` AS NUMERIC) AS `valor_reconhecido_q2`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
149,Valor Reconhecido Q3,valor_reconhecido_q3,NUMERIC,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,SAFE_CAST(src.`valor_reconhecido_q3` AS NUMERIC),DIRECT,src,valor_reconhecido_q3,N,N,S,valor_reconhecido_q3,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`valor_reconhecido_q3` AS NUMERIC) AS `valor_reconhecido_q3`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
150,Valor Reconhecido Q4,valor_reconhecido_q4,NUMERIC,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,SAFE_CAST(src.`valor_reconhecido_q4` AS NUMERIC),DIRECT,src,valor_reconhecido_q4,N,N,S,valor_reconhecido_q4,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`valor_reconhecido_q4` AS NUMERIC) AS `valor_reconhecido_q4`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
151,Portfólio,portfolio,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`portfolio` AS STRING),DIRECT,src,portfolio,N,N,S,portfolio,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`portfolio` AS STRING) AS `portfolio`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
152,Portfolio FDM,portfolio_fdm_analise,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`portfolio_fdm_analise` AS STRING),DIRECT,src,portfolio_fdm_analise,N,N,N,portfolio_fdm_analise,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`portfolio_fdm_analise` AS STRING) AS `portfolio_fdm_analise`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
153,Owner Preventa,owner_preventa,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`owner_preventa` AS STRING),DIRECT,src,owner_preventa,N,N,S,owner_preventa,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`owner_preventa` AS STRING) AS `owner_preventa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
154,Cidade de cobrança,cidade_de_cobranca,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`cidade_de_cobranca` AS STRING),DIRECT,src,cidade_de_cobranca,N,N,S,cidade_de_cobranca,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`cidade_de_cobranca` AS STRING) AS `cidade_de_cobranca`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
155,Estado/Província de cobrança,estado_provincia_de_cobranca,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`estado_provincia_de_cobranca` AS STRING),DIRECT,src,estado_provincia_de_cobranca,N,N,S,estado_provincia_de_cobranca,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`estado_provincia_de_cobranca` AS STRING) AS `estado_provincia_de_cobranca`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
156,Vertical IA,vertical_ia,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`vertical_ia` AS STRING),DIRECT,src,vertical_ia,N,N,S,vertical_ia,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`vertical_ia` AS STRING) AS `vertical_ia`,Derivado da classificação IA estruturada; não é pergunta isolada ao modelo.,"Campos de filtro IA derivados da saída estruturada da análise (vertical/sub_vertical/sub_sub_vertical e variações). Devem ser consistentes com categoria/labels e usados para segmentação no ""looker"" interno.","Consistência com labels, forecast e taxonomia comercial.","{vertical_ia, sub_vertical_ia, sub_sub_vertical_ia, filtro_vertical_ia, filtro_sub_vertical_ia, filtro_sub_sub_vertical_ia}",appscript/ShareCode.gs:normalização pós-resposta IA + filtros frontend,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
157,Sub-vertical IA,sub_vertical_ia,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`sub_vertical_ia` AS STRING),DIRECT,src,sub_vertical_ia,N,N,S,sub_vertical_ia,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`sub_vertical_ia` AS STRING) AS `sub_vertical_ia`,Derivado da classificação IA estruturada; não é pergunta isolada ao modelo.,"Campos de filtro IA derivados da saída estruturada da análise (vertical/sub_vertical/sub_sub_vertical e variações). Devem ser consistentes com categoria/labels e usados para segmentação no ""looker"" interno.","Consistência com labels, forecast e taxonomia comercial.","{vertical_ia, sub_vertical_ia, sub_sub_vertical_ia, filtro_vertical_ia, filtro_sub_vertical_ia, filtro_sub_sub_vertical_ia}",appscript/ShareCode.gs:normalização pós-resposta IA + filtros frontend,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
158,Sub-sub-vertical IA,sub_sub_vertical_ia,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`sub_sub_vertical_ia` AS STRING),DIRECT,src,sub_sub_vertical_ia,N,N,S,sub_sub_vertical_ia,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`sub_sub_vertical_ia` AS STRING) AS `sub_sub_vertical_ia`,Derivado da classificação IA estruturada; não é pergunta isolada ao modelo.,"Campos de filtro IA derivados da saída estruturada da análise (vertical/sub_vertical/sub_sub_vertical e variações). Devem ser consistentes com categoria/labels e usados para segmentação no ""looker"" interno.","Consistência com labels, forecast e taxonomia comercial.","{vertical_ia, sub_vertical_ia, sub_sub_vertical_ia, filtro_vertical_ia, filtro_sub_vertical_ia, filtro_sub_sub_vertical_ia}",appscript/ShareCode.gs:normalização pós-resposta IA + filtros frontend,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
